Project Name,Project Version,Package Path,Package Type,Component Name,Component Version Name,Component Description,Component Origin Id(s),Component Origin Namespace(s),Component Usage,Component Match Type(s),Download URL,Component Modified,License(s),License Family(ies),Vulnerability Name(s),Vulnerability Description,Vulnerability Source(s),Vulnerability Published Date,Vulnerability Updated Date,Base Score - cvss2,Severity - cvss2,Base Score - cvss3,Severity - cvss3,Remediation Info - Overall Score,ExploitAvailable,WorkaroundAvailable,SolutionAvailable,Remediation Status,Remediation Comment,Remediation CreatedAt,Upgrade Guidance - Short Term,Upgrade Guidance - Long Term
obs_misc,bookkeeper-operator-0.1.9-107-8c4f6b6,,,ACL,2.2.52,,libacl1/2.2.52-4.3.1/x86_64,opensuse,UNSPECIFIED,FILE_DEPENDENCY_DIRECT,http://savannah.nongnu.org/projects/acl,False,"GNU Lesser General Public License v2.1 or later, GNU General Public License v2.0 or later","Reciprocal - Limited Linking, Reciprocal - No Linking",,,,,,,,,,,,,,,,,,
obs_misc,bookkeeper-operator-0.1.9-107-8c4f6b6,/image_devops-repo.isus.emc.com_8116_nautilus_bookkeeper-operator_v_0.1.9-107-8c4f6b6/lib64/libacl.so.1.1.2253#,,ACL,,,,,UNSPECIFIED,BINARY,http://savannah.nongnu.org/projects/acl,False,"GNU Lesser General Public License v2.1 or later, GNU General Public License v2.0 or later","Reciprocal - Limited Linking, Reciprocal - No Linking",,,,,,,,,,,,,,,,,,
obs_misc,bookkeeper-operator-0.1.9-107-8c4f6b6,/image_devops-repo.isus.emc.com_8116_nautilus_bookkeeper-operator_v_0.1.9-107-8c4f6b6/usr/lib64/libaudit.so.1.0.0#,,Audit,,,,,UNSPECIFIED,BINARY,http://people.redhat.com/sgrubb/audit/,False,GNU General Public License v2.0 or later,Reciprocal - No Linking,,,,,,,,,,,,,,,,,,
obs_misc,bookkeeper-operator-0.1.9-107-8c4f6b6,/usr/lib64/libaudit.so.1.0.0#/3de8dfd2808e7607d5faf3e44dc27d4591cf39adaa0ded0d8948f2c3614dadf9/layer.tar!/,,Audit,v3.0.6,,libaudit1/3.0.6-150400.2.13/x86_64,opensuse,UNSPECIFIED,"FILE_DEPENDENCY_DIRECT, FILE_EXACT_FILE_MATCH",http://people.redhat.com/sgrubb/audit/,False,GNU General Public License v2.0 only,Reciprocal - No Linking,,,,,,,,,,,,,,,,,,
obs_misc,bookkeeper-operator-0.1.9-107-8c4f6b6,/etc/skel/.bashrc#/3de8dfd2808e7607d5faf3e44dc27d4591cf39adaa0ded0d8948f2c3614dadf9/layer.tar!/,,Bash,4.4,,"bash-sh/4.4-150400.25.22/x86_64, bash/4.4-150400.25.22/x86_64",opensuse,UNSPECIFIED,"FILE_DEPENDENCY_DIRECT, FILE_EXACT_FILE_MATCH",http://www.gnu.org/software/bash/,False,GNU General Public License v3.0 or later,Reciprocal - No Linking,CVE-2022-3715 (BDSA-2022-3736) ,"A flaw was found in the bash package, where a heap-buffer overflow can occur in valid parameter_transform. This issue may lead to memory problems.","NVD, BDSA",2023-01-05T15:15:00.000Z,2023-01-13T18:11:00.000Z,0.0,LOW,7.8,HIGH,7.8,False,False,False,NEW,,2023-01-26T01:06:05.889Z,Not available,5.1.12
obs_misc,bookkeeper-operator-0.1.9-107-8c4f6b6,/etc/skel/.bashrc#/3de8dfd2808e7607d5faf3e44dc27d4591cf39adaa0ded0d8948f2c3614dadf9/layer.tar!/,,Bash,4.4,,"bash-sh/4.4-150400.25.22/x86_64, bash/4.4-150400.25.22/x86_64",opensuse,UNSPECIFIED,"FILE_DEPENDENCY_DIRECT, FILE_EXACT_FILE_MATCH",http://www.gnu.org/software/bash/,False,GNU General Public License v3.0 or later,Reciprocal - No Linking,CVE-2019-18276 (BDSA-2019-3773) ,"An issue was discovered in disable_priv_mode in shell.c in GNU Bash through 5.0 patch 11. By default, if Bash is run with its effective UID not equal to its real UID, it will drop privileges by setting its effective UID to its real UID. However, it does so incorrectly. On Linux and other systems that support ""saved UID"" functionality, the saved UID is not dropped. An attacker with command execution in the shell can use ""enable -f"" for runtime loading of a new builtin, which can be a shared object that calls setuid() and therefore regains privileges. However, binaries running with an effective UID of 0 are unaffected.","NVD, BDSA",2019-11-28T01:15:00.000Z,2022-06-07T18:41:00.000Z,7.2,HIGH,7.8,HIGH,7.8,False,False,False,NEW,,2023-01-26T01:06:05.889Z,Not available,5.1.12
obs_misc,bookkeeper-operator-0.1.9-107-8c4f6b6,/etc/skel/.bashrc#/3de8dfd2808e7607d5faf3e44dc27d4591cf39adaa0ded0d8948f2c3614dadf9/layer.tar!/,,Bash,4.4,,"bash-sh/4.4-150400.25.22/x86_64, bash/4.4-150400.25.22/x86_64",opensuse,UNSPECIFIED,"FILE_DEPENDENCY_DIRECT, FILE_EXACT_FILE_MATCH",http://www.gnu.org/software/bash/,False,GNU General Public License v3.0 or later,Reciprocal - No Linking,CVE-2019-9924 (BDSA-2019-0806) ,"Bash is vulnerable to restricted bash (rbash) escapes, where users can break out of this mode and assume the privilege level of a normal shell. This is possible because rbash users are not prevented from assigning new values to a certain environment variable.","NVD, BDSA",2019-03-22T15:28:31.529Z,2019-05-13T15:42:27.151Z,4.6,LOW,8.4,HIGH,7.6,True,False,True,NEW,,2023-01-26T01:06:05.889Z,Not available,5.1.12
obs_misc,bookkeeper-operator-0.1.9-107-8c4f6b6,/etc/skel/.bashrc#/3de8dfd2808e7607d5faf3e44dc27d4591cf39adaa0ded0d8948f2c3614dadf9/layer.tar!/,,Bash,4.4,,"bash-sh/4.4-150400.25.22/x86_64, bash/4.4-150400.25.22/x86_64",opensuse,UNSPECIFIED,"FILE_DEPENDENCY_DIRECT, FILE_EXACT_FILE_MATCH",http://www.gnu.org/software/bash/,False,GNU General Public License v3.0 or later,Reciprocal - No Linking,CVE-2016-0634 (BDSA-2016-0290) ,The expansion of '\h' in the prompt string in bash 4.3 allows remote authenticated users to execute arbitrary code via shell metacharacters placed in 'hostname' of a machine.,"NVD, BDSA",2017-08-28T15:29:00.000Z,2018-01-05T02:30:00.000Z,6.0,MEDIUM,7.5,HIGH,7.5,False,False,False,NEW,,2023-01-26T01:06:05.889Z,Not available,5.1.12
obs_misc,bookkeeper-operator-0.1.9-107-8c4f6b6,/etc/skel/.bashrc#/3de8dfd2808e7607d5faf3e44dc27d4591cf39adaa0ded0d8948f2c3614dadf9/layer.tar!/,,Bash,4.4,,"bash-sh/4.4-150400.25.22/x86_64, bash/4.4-150400.25.22/x86_64",opensuse,UNSPECIFIED,"FILE_DEPENDENCY_DIRECT, FILE_EXACT_FILE_MATCH",http://www.gnu.org/software/bash/,False,GNU General Public License v3.0 or later,Reciprocal - No Linking,CVE-2017-5932,"The path autocompletion feature in Bash 4.4 allows local users to gain privileges via a crafted filename starting with a "" (double quote) character and a command substitution metacharacter.",NVD,2017-03-27T15:59:00.000Z,2017-03-31T11:24:00.000Z,4.6,MEDIUM,7.8,HIGH,7.8,False,False,False,NEW,,2023-01-26T01:06:05.889Z,Not available,5.1.12
obs_misc,bookkeeper-operator-0.1.9-107-8c4f6b6,/etc/skel/.bashrc#/3de8dfd2808e7607d5faf3e44dc27d4591cf39adaa0ded0d8948f2c3614dadf9/layer.tar!/,,Bash,4.4,,"bash-sh/4.4-150400.25.22/x86_64, bash/4.4-150400.25.22/x86_64",opensuse,UNSPECIFIED,"FILE_DEPENDENCY_DIRECT, FILE_EXACT_FILE_MATCH",http://www.gnu.org/software/bash/,False,GNU General Public License v3.0 or later,Reciprocal - No Linking,CVE-2016-9401,popd in bash might allow local users to bypass the restricted shell and cause a use-after-free via a crafted address.,NVD,2017-01-23T21:59:00.000Z,2020-09-14T18:32:00.000Z,2.1,LOW,5.5,MEDIUM,5.5,False,False,False,NEW,,2023-01-26T01:06:05.889Z,Not available,5.1.12
